Keyword,Confidentiality Level,Sensivity Level
ทะเยอทะยาน,3.75,3.75
ขบขัน,2.5,2.5
ใจกว้าง ,2.5,3.75
ใจเย็น,2.5,3.75
ระมัดระวัง,3.75,5
ใจแข็ง,3.75,2.5
เฉลียวฉลาด,5,5
เห็นอกเห็นใจผู้อื่น,2.5,2.5
มีประสิทธิภาพ,5,5
เป็นมิตร,3.75,3.75
ชอบสังคม,3.75,5
ชอบช่วยเหลือ,3.75,2.5
โชคดี,5,3.75
ถ่อมตัว,3.75,5
มองโลกในแง่ดี  ,3.75,3.75
กล้าหาญ,3.75,3.75
 มีอำนาจมาก,5,5
มีไหวพริบ,3.75,2.5
วางใจได้,5,5
เชื่อมั่นในตัวเอง,3.75,3.75
ซึ่งถูกดูถูก,2.5,-3.75
การแยกออก,3.75,-3.75
ถูกลบหลู่,2.5,-3.75
เข้าสังคมได้ยาก,2.5,-2.5
มองโลกในแง่ร้าย,3.75,-5
การเหยียดหยาม,2.5,-3.75
ถูกคุกคาม,3.75,-2.5
ไม่เป็นสุข,2.5,-3.75
โกง,3.75,-3.75
การกระทำที่โหดเหี้ยม,3.75,-5
กดดัน,2.5,-5
บังคับให้ไป,3.75,-2.5
เป็นศัตรูกัน,2.5,-5
การรุกราน,3.75,-3.75
ไม่เข้าสังคม,2.5,-3.75
การโต้แย้ง,2.5,-2.5
ชอบทะเลาะวิวาท,3.75,-3.75
การลำเอียง,2.5,-2.5
การเฉยชา,2.5,-3.75
ความเหลวไหล,2.5,-2.5
