Keyword,Confidentiality Level,Sensivity Level
พระราชบัญญัติ,10,10
กฎหมายแพ่ง,10,10
กฎหมายพาณิชย์,10,10
รัฐธรรมนูญ,10,10
การตัดสิน ลงโทษจำคุก,10,10
การชำระหนี้,10,10
การไถ่ถอน,10,10
การซื้อคืน,10,10
ศาลชั้นต้น,10,10
ศาลอุทธรณ์,10,10
ศาลฎีกา,10,10
อาชญากรรม,10,10
ผู้ต้องหา,10,10
คำพิพากษา,10,10
ค่าเสียหาย,10,10
ข้อกล่าวหา,10,10
จำเลย,10,10
โจทก์,10,10
สันนิษฐาน,10,10
การประกันตัว,10,10
พยานบุคคล,10,10
พยานเอกสาร,10,10
การพิจารณาพิพากษา,10,10
ระบอบการปกครอง,10,10
ข้ออ้าง,10,10
ฟ้องร้อง,10,10
ตัดสิน,10,10
ซ้ำร้าย,10,10
